약국명,주소,대표전화,행정구,시작(월),마감(월),시작(화),마감(화),시작(수),마감(수),시작(목),마감(목),시작(금),마감(금),시작(토),마감(토),시작(일),마감(일),시작(공휴일),마감(공휴일),일요일운영,공휴일운영,야간운영(월),야간운영(화),야간운영(수),야간운영(목),야간운영(금),야간운영(토),야간운영(일),야간운영(공휴일)
강남맑은약국,서울특별시 강남구 강남대로 292 3층 (도곡동 뱅뱅빌딩),02-573-8798,강남구,900,1830,900,1830,900,1830,900,1800,900,1830,900,1400,900,1700,900,1700,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
365종로약국,서울특별시 동대문구 전농로 60-1 1층 (답십리동),02-2215-8704,동대문구,800,2400,800,2400,800,2400,800,2400,800,2400,800,2400,800,2400,800,2400,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
강남소화약국,서울특별시 강남구 봉은사로114길 42 (삼성동),02-556-8357,강남구,900,1200,900,1200,900,1200,900,1200,900,1200,900,2100,1030,1900,1030,1900,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
건강한온누리약국,서울특별시 강서구 가로공원로82길 41-8,02-2606-0012,강서구,900,2100,900,2100,900,2100,900,2100,900,2100,900,2100,1500,1900,900,2100,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
건대역2번출구약국,서울특별시 광진구 아차산로 243 2호선 건대입구역 2층 005호 (화양동),02-461-8255,광진구,800,2300,800,2300,800,2300,800,2300,800,2300,800,2300,900,2300,900,2300,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
건강한세상행복한약국,서울특별시 강남구 강남대로 488 (논현동) 1층,02-545-0029,강남구,530,2929,530,2929,530,2929,530,2929,530,2929,530,2929,530,2929,530,2929,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
3층 파란문 약국,서울특별시 용산구 한강대로 69 3층 305-1호 (한강로2가 용산푸르지오써밋),02-796-9008,용산구,1000,1500,1000,1500,1000,1500,1000,1500,1000,1500,1000,1530,800,2400,800,2400,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
가까운우리약국,서울특별시 용산구 대사관로31길 7-10 1층 (한남동),02-749-6011,용산구,830,1830,830,1830,830,1830,830,1830,830,1830,900,1300,1300,2100,1300,2100,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
구심약국,서울특별시 서초구 동광로3길 70 (방배동),02-599-5163,서초구,900,2200,900,2200,900,2200,900,2200,900,2200,900,2200,900,2200,1300,2000,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
그린약국,서울특별시 송파구 올림픽로 119 잠실파인애플상가 2층 60~61호 (잠실동),02-418-1140,송파구,900,1900,900,1900,900,1900,900,1900,900,1900,900,1500,1100,2230,1100,2230,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
3층메디칼약국,서울특별시 송파구 양재대로 1222 올림픽프라자 23-123호 (방이동),02-401-7657,송파구,830,2000,830,2000,830,2000,830,2000,830,2000,830,1800,1000,1800,1000,1800,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
꿀약국,서울특별시 동작구 양녕로 186 1층 (상도동),02-823-4521,동작구,830,1900,830,1900,830,1900,830,1900,830,1900,830,1600,900,2100,1100,2100,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
3층엠코약국,서울특별시 중랑구 망우로 353 C동 309호 (상봉동 상봉 프레미어스 엠코),02-434-7707,중랑구,930,2000,930,2000,930,2000,930,2000,930,2000,930,1700,930,1700,930,1800,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
3층온누리약국,서울특별시 마포구 월드컵북로 230 305호 (중동 현대상가),02-306-4743,마포구,900,1830,900,1830,900,1830,900,1830,900,1830,900,1500,930,1700,930,1800,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
녹원당약국,서울특별시 강북구 한천로105길 7,02-989-8315,강북구,900,1900,900,1900,900,1900,900,1900,900,1900,900,1400,1000,1600,900,2100,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
논현필리아약국,서울특별시 강남구 선릉로 641,02-540-7582,강남구,900,2200,900,2200,900,2200,900,2200,900,2200,900,1900,1000,1900,900,1900,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
늘봄약국,서울특별시 강남구 논현로159길 17 101호 (신사동),070-4246-6068,강남구,800,1800,800,1800,800,1800,800,1800,800,1800,800,1300,900,2100,900,2200,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
21세기고려약국,서울특별시 성북구 고려대로 80 (안암동5가),02-929-9696,성북구,930,1830,930,1830,930,1830,930,1830,930,1830,930,1230,1000,1600,900,1330,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
다모아약국,서울특별시 은평구 통일로 714 (불광동),02-356-8868,은평구,900,2000,900,2000,900,2000,900,2000,900,2000,900,1400,1000,1400,1030,2000,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
